References,Family,Status,,ID Number,Name,Illustration,Gloss,English equivalent,Norwegian equivalent,CEFR level,Definition in Norwegian,Definition in English,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,,,11,på den ene side(n) X på den andre side(n) Y,"På den ene siden ønsker jeg å spare penger, men på den andre siden har jeg lyst til å dra på ferie.",,,,A2,"Konstruksjonen brukes for å presentere to kontrasterende synspunkter, argumenter eller aspekter av en sak. Ved å bruke denne konstruksjonen veier man ulike sider av en situasjon mot hverandre.",,"På den ene siden er jobben veldig krevende, men på den andre siden gir den meg mye erfaring.","På den ene siden liker jeg å bo i byen på grunn av alle fasilitetene, men på den andre siden savner jeg roen på landet.","På den ene siden er det viktig å være forsiktig med utgifter, men på den andre siden må vi investere i kvalitet.",,,,Diskurskonstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,med hensyn til X,"Med hensyn til sikkerhet, bør alle ansatte bruke verneutstyr.",,,,B2,"Konstruksjonen brukes for å referere til eller fokusere på et spesifikt tema eller aspekt av en sak. Det tilsvarer uttrykk som ""angående"" eller ""når det gjelder."" Konstruksjonen er ofte forkortet som mht.",,Praktiske tips med hensyn til de tekniske løsningene.,"Med hensyn til prosjektet, må vi holde oss innenfor budsjettet.",Det nye dyrehelseregelverket krever at Mattilsynet skal risikoklassifisere alle akvakulturanlegg med hensyn til fiskehelse.,,,,Diskurskonstruksjon; Biklausal konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Problemstilling: hvordan presenterer vi konstruksjoner der bare enkelte verb (i dette tilfellet kroppspositurverb) passer inn på V-plassen?,,13,det [sitte/stå/ligge/være] [NOE/NOEN] [STED],Det sitter noen studenter i kantina.,,,,B1,"Konstruksjonen brukes for å presentere en ny referent (uttrykt av et ubestemt substantiv), hvor denne befinner seg (uttrykt av en preposisjonsfrase). Verbet kan være et kroppspositurverb (sitte, ligge, stå), men også verbet være.",,Det ligger et hus i veien i Belgia.,Det står noen bøker på hylla.,Det sitter en grevling på trappa.,,,,Presenteringskonstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Det er kanskje mer komplisert her. Det er kanskje viktig om man har en intensjon eller plan eller en handlig er ikke planlagt. Kan brukes om begge, men særlig ikke-planlagte situasjoner som uttrykkes med stor grad av sikkerhet. Konstruksjonen kan også (dog sjeldent) brukes om ukontrollerbare spontane handlinger, særlig når V står i preteritum: jeg kom til å tenke på den gangen vi var telttur og det regnet hele tiden.","Problemstilling: noen eksempler viser tydelig at man snakker om en fremtidig handling som er planlagt eller forventet. (Konstruksjonen indikerer at en person har planer om eller er bestemt på å utføre en handling i fremtiden. Konstruksjonen uttrykker en fremtidig intensjon eller beslutning). Andre eksempler viser at det er en ukontrollerbar handling som man forventer (savne, bli syk). Den brukes om begge, men er signifikant mer frekvent i prediksjonsbetydningen. Det er to/tre utfordringer med fremtidsuttrykk: de er polysemiske (også kommer til å kan bli brukt uten fremtidsreferanse: ""Jeg kommer til å tenke på den gangen jeg ble så matforgiftet""), de har sterke preferanser når det gjelder hvilke verb som kan stå på V-plassen, og noen betydninger er knyttet til spesifikke (grupper av) verb, andre ikke.",,14,[NOE/NOEN] komme til å VERB-INF,Kjære kunder! Vi kommer til å pusse opp butikken i uke 48 og da er vi dessverre nødt til å holde stengt i noen dager.,,,,A2,Konstruksjonen uttrykker at situasjonen uttrykt av V har framtidsreferanse. Situasjonen kan være en intendert (planlagt) handing eller (oftest) en ukontrollerbar situasjon som taleren anser som sannsynlig.,,Jeg kommer til å savne deg.,Vi kommer til å lansere det nye produktet snart.,"Jeg er kvalm, jeg tror jeg kommer til å bli syk.",,,,Konstruksjon med kompleks predikat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Problemstilling: kanskje det er mest brukt med verb i presens perfekt ""har gått lei av""",,15,[NOEN] gå/bli/være lei av [NOE],Jeg har gått lei av pizza etter å ha spist det hver helg i flere måneder.,,,,A2,"Konstruksjonen betyr å bli trøtt av eller miste interessen for noe. Konstruksjonen beskriver en følelse av kjedsomhet eller frustrasjon som oppstår når man har hatt for mye av noe, eller når noe ikke lenger er spennende eller interessant.",,Paparazziene har gått lei av alle skandalene rundt Britney Spears.,Du er ikke nødt til å bytte den ut om du har gått lei av trappen din.,Jeg er utdannet kokk og gikk lei av jobben.,,,,Konstruksjon med kompleks predikat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AE: V-INF er mer informativt. Kansjhe NOE skal beholdes kun der hvor vi har substantiver eller pronomen?  godt av å V-INF,,16,[NOEN] ha godt av [NOE],Hans har godt av å trene regelmessig for å holde seg i form.,,,,C1,"Konstruksjonen betyr at noe er fordelaktig eller nyttig for en person. Det antyder at en bestemt handling, aktivitet eller situasjon vil ha en positiv effekt på en persons velvære, helse eller utvikling. ",,Du kunne ha godt av å prate med noen.,"Etter en lang uke på jobb, har hun godt av å ta en fridag for å slappe av.",Derfor mente treneren laget hadde godt av å tape. ,Jeg hadde godt av å se skjønnhet i det uperfekte.,,,Konstruksjon med kompleks predikat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17,[NOE] være for [NOEN] (som VERB),Norskprøven er for deg som er på norskkurs og andre som vil vise hvor godt de kan norsk.,,,,B2,"Konstruksjonen brukes for å beskrive at noe (X) er spesielt egnet eller relevant for personer som har en bestemt interesse, behov eller egenskap (V). Det er en måte å målrette eller anbefale noe til en spesifikk gruppe mennesker. Her er ""X"" det som tilbys, og ""V"" beskriver målgruppen eller de spesifikke interessene eller behovene som gjør at det er relevant for dem.",,Dette treningsprogrammet er for deg som ønsker å gå ned i vekt.,"Jeg er ikke sponet, for de som måtte lure på det.",Bare et lite tips for dere som vil ha rimelige møbler til overkommelig pris.,,,,Adverbialmodifisert verbkonstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"condition. Det er annerledes bruk fra bokstavelig ""med mindre + Substantiv"": Mer læring med mindre skjermbruk. eller Kommuner med mindre enn. 600 innbyggere.",,18,X med mindre Y,"Vi drar på stranden i morgen, med mindre det regner.",,,,B2,"Konstruksjonen introduserer en betingelse som unntar noe fra en generell regel eller situasjon. Det tilsvarer det engelske ""unless"" og brukes for å si at noe vil skje, bortsett fra hvis en spesifikk betingelse er oppfylt. De ordene ""med mindre"" setter en betingelse som må oppfylles for at hovedutsagnet ikke skal gjelde.",,"Jeg kommer på festen, med mindre noe viktig dukker opp.","Du vil ikke bestå eksamen, med mindre du studerer hardt.","Helsehjelp kan bare gis med pasientens samtykke, med mindre det foreligger lovhjemmel eller annet gyldig rettsgrunnlag for å gi helsehjelp uten samtykke.",,,,Konjunksjonskonstruksjon; Biklausal konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Problemstilling: denne konstruksjonen ligger til grunn for en egen sjanger med vitser (""Alle barna"" vitser). AE: Også finnes det slike eksempler: ""alt gikk bra, bortsett fra avslutningen"", ""gangen var helt tom, bortsett fra noen klær som hang på veggen""",,19,(alle X) bortsett fra Y,"Alle i familien liker pizza, bortsett fra Lars.",,,,B1,"Konstruksjonen betyr at noe gjelder for alle elementer i en gruppe (X), med unntak av ett spesifikt element (Y). Det betyr at Y er unntaket fra regelen eller beskrivelsen som gjelder for resten av gruppen.",,"Alle dyrene i parken er fredelige, bortsett fra den ene aggressive apen.","Alle må levere oppgaven innen fredag, bortsett fra de som har fått utsettelse.","Alle barna tittet inn i mikrobølgeovnen, unntatt Knut, han tittet ut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Problemstilling: er det samme konstruksjon: ""jo mer jo bedre"" og ""Jo mer du jobber, jo mer tjener du.""",,20,"jo KOMPARATIV (X), jo/desto KOMPARATIV (Y)","Jo mer du jobber, jo mer tjener du. Jo færre man er, jo mer utsatt føler man seg.",,,,A2,"Konstruksjonen brukes for å beskrive en sammenheng eller et forhold mellom to ting, hvor en endring i den ene fører til en endring i den andre. Det tilsvarer det engelske ""the more ... the more ..."" eller ""the more ... the less ..."".",,"Jo tidligere man får hjelp, jo mindre kan man trenge av behandling.","Jo mer klær jeg har, jo mer gøy vil jeg ha det.","Jo sterkere sukkerkonsentrasjon, jo større potensiale for alkohol.",,,,Konjunksjonskonstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Problemstilling: hvor like må konstruksjoner i ulike språk sies å være for å regnes som ekvivalente?,,21,VERB og VERB (pågående),Jeg sitter og jobber.,,Present progressive,,A1,"Konstruksjonen brukes for å uttrykke at handlingen er pågående samtidig som kroppspositurverbet indikerer subjektets posisjon. Elementet ""og"" er her en pseudokoordinasjon.","The construction expresses that the action expressed by V is ongoing, similar to the present progressive in English. The use of a posture verb indicating whether the subject is sitting, standing or lying down",De står og ser på menyen.,Nå sitter Julia og svarer på e-posten fra Randi.,Nå sitter de rundt bordet og spiser og koser seg.,,,,Pseudokoordinasjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Problemstilling: bør det finnes egne beskrivelser for ulike kombinasjoner av konstruksjoner? Eller bør dette indikeres som en egen kolonne ""passer sammen med"" der cx A passer sammen med cx B og cx B passer sammen med cx A? I dette tilfellet dreier det seg ikke bare om A + B, men en sammensmelting siden ett av elementene (posture verb) brukes i begge konstruksjonene",,22,det sitte/stå/ligge [NOE/NOEN] (PREPOSISJON) [STED] og VERB,Det sitter en statsråd i Oslo og overkjører lokaldemokratiet.,,,,B1,"Konstruksjonen er en kombinasjon av ""det V en N PP"" og ""V og V (samtid)""",,Det står en mann i storgata og selger juletrær.,Det ligger en katt der og fryser.,Det sitter ei jente i sandkassa og leker.,,,,Presenteringskonstruksjon; Pseudokoordinasjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Problemstilling: er konstruksjonen hele det resulterende ordet eller bare prefikset?,,23,u-X,"ufin, uvær, umenneske",,,,A1,Konstruksjonen uttrykker at en referent kan karakteriseres som det motsatte av X eller som i svært liten grad oppfører seg som X.,,umenneske,ukjent,uinteressant,,,,Morfologisk konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Problemstilling: hvordan presenterer vi typiske kontekster til morfologiske konstruksjoner?,,24,X-aktig,"fordelaktig, snøaktig, kakaoaktig, krampaktig, drømmeaktig, gulaktig, marerittaktig, spøkelsesaktig, gutteaktig, glassaktig",,,,B1,Konstruksjonen uttrykker at en referent ligner på eller kan minne om X.,,krampaktig,svinaktig,snøaktig,kakaoaktig,,,Morfologisk konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,kjempemessig er kanskje ikke lenger segmenterbart for de fleste men har blitt ett element?,,25,X-messig,"treningsmessig, feriemessig",,,,B1,"Konstruksjonen setter fokus på en spesifikk del av en situasjon (f.eks. den delen av situasjonen som kan relateres til skatt, følelser eller samfunn).",,følelsesmessig,samfunnsmessig,treningsmessig,feriemessig,,,Morfologisk konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Problemstilling: tror, synes, mener og tenker kan sies å utgjøre en onomasiologisk familie av epistemiske stance verbs, men de kan ikke alltid brukes om hverandre. Bruken tilsier altså semantiske forskjeller, men disse er vanskelige å beskrive. Det er også mye variasjon når det gjelder hvor vanlig det er å utelate ""at"".",,26,[NOEN] tro (at) LEDDSETNING,Jehovas vitner tror at jorden skal bestå i all evighet.,,,,A2,Konstruksjonen uttrykker at noen (subjektet) har en oppfatning om at en situasjon (leddsetningen) er sann. Oppfatningen kan være basert på ufullstendig kunnskap eller spekulasjon.,,Noen som tror at jorda er flat her?,Hvem tror du vinner valget?,Jeg tror ikke jeg kommer til å stå på eksamen.,,,,Biklausal konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27,[NOEN] synes (at) LEDDSETNING,Jeg synes at traktekaffe kan være godt.,,,,A2,"Konstruksjonen uttrykker noens (subjektets) personlige vurdering av eller oppfatning om en situasjon (leddsetningen). Denne vurderingen er ofte styrt av smak, følelser eller andre subjektive inntrykk.",,Det finnes noen som synes at jeg er pen.,Hva synes du om genseren min,Jeg synes ikke jeg er flink nok.,,,,Biklausal konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28,[NOEN] mene (at) LEDDSETNING,Viktor Norman mener at de med høy utdannelse må senke kravene til jobb.,,,,A2,Konstruksjonen uttrykker noens (subjektets) personlige mening om en situasjon (leddsetningen). Denne meningen er ofte dannet på bakgrunn av fakta og kan begrunnes.,,Jeg mener at det er en skandale!,Det er litt flere menn enn kvinner som mener at menn diskrimineres.,Fagforeningene mener at staben er slank nok.,,,,Biklausal konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29,[NOEN] tenke (at) LEDDSETNING,Jeg tenker at lekser kan være en utfordring for forholdet mellom foreldre og barn.,,,,A2,"Konstruksjonen uttrykker at noen (subjektet) har en oppfatning om en situasjon (leddsetningen), men denne oppfatningen kan tolkes som mer åpen enn hva tilfellet er for synes/mener (at) og som mindre usikker enn hva tilfellet er for tror (at).",,Tenker at jeg er tjukk.,Folk tenker at jeg har juksa.,"Få hodet ut av ræven og fokuser mindre på deg selv, tenker jeg da.",,,,Biklausal konstruksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Problemstilling: kan bare brukes med noen verb? Ikke alle perception verbs: *det lukter godt ut / *det lukter ut som at,,30,[NOE/NOEN] se/høres ADJEKTIV ut,Hunden så veldig sulten ut.,,,,A2,"Konstruksjonen uttrykker at noe(n) (uttrykt av et substantiv i bestemt form) blir oppfattet på en bestemt måte (uttrykt av et adjektiv) gjennom sensorisk informasjon (uttrykt av et sensorisk verb som høres, kjennes, føles eller ser).",,Det høres slitsomt ut.,Redd for å ikke se bra ut?,Jeg liker å se feminin ut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31,det se/høres ut som (at) LEDDSETNING,Det høres ut som det mangler noe.,,,,B1,"Konstruksjonen uttrykker at situasjonen uttrykt av leddsetningen er sannsynlig, basert på sensorisk informasjon uttrykt av verbet.",,Det høres ut som at jeg prumper.,Flere mener det høres ut som den ler.,Har vi flere folk her til lands som ser ut som at de sagger?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32,[NOE] dreie seg om [NOE],Det dreier seg om mye penger.,,,,B1,"Konstruksjonen betyr at X handler om eller fokuserer på Y. Det brukes for å beskrive hva som er hovedtemaet eller hovedfokuset i en diskusjon, en tekst, en situasjon, eller lignende.",,"Det dreier seg om en mann i 30-årene, sier politiet.","Når livet dreier seg om ""likes"".",Prosjektet dreide seg om å undervise en gruppe klassiske sangstudenter i fri vokalimprovisasjon.,,,,Refleksiv konstruksjon; Konstruksjon med kompleks predikat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Problemstilling: konstruksjonen skiller seg fra ""gå på X"" fordi den er non-habitual, og det er ikke verbet som er avgjørende for betydningsforskjellen, men heller elementet X",,33,VERB (PREPOSISJON) [STED],Jeg skal på kino. Jeg drar hjem.,,,,A1,Konstruksjonen uttrykker at subjektet har intensjon om å dra til et bestemt sted.,,Jeg skal på en konferanse.,Jeg må til legen.,Jeg går i butikken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
